**********************************************************************************************
*                                                                                            *
* Component List (Generic)                                                                   *
*                                                                                            *
* D:\UTENTI\00.LAVORI IN CORSO\METALTRONICA\22-301-0 (SCHEDA SERVIZI 2_02_2024\22-301-0.MAX  *
* Fri Feb 02 15:26:28 2024                                                                   *
*                                                                                            *
**********************************************************************************************

 REF DES    VALUE            PACKAGE          FOOTPRINT                      X LOC      Y LOC      ROTATION
------------------------------------------------------------------------------------------------------------
R86        1K               R                SMD0603                         17.15 mm   118.11 mm 270     
R87        1K               R                SMD0603                         19.05 mm   118.11 mm 270     
R88        5K7              R                SMD0603                         19.05 mm   81.92 mm  90      
R89        100K             R                SMD0603                         43.82 mm   95.89 mm  90      
R90        2K2              R                SMD0603                         16.51 mm   62.23 mm  90      
R91        68K              R                SMD0603                         43.82 mm   92.71 mm  90      
R92        30K9             R                SMD0603                         41.28 mm   95.89 mm  270     
R93        140K             R                SMD0603                         43.82 mm   88.90 mm  270     
R94        10K2             R                SMD0603                         45.72 mm   92.71 mm  270     
R95        680R             R                SMD0603                         30.48 mm   114.30 mm 270     
R96        680R             R                SMD0603                         13.97 mm   81.92 mm  270     
R97        10K              R                SMD0603                         5.08 mm    87.63 mm  270     
R98        5K7              R                SMD0603                         16.51 mm   81.92 mm  90      
R99        95K3             R                SMD0603                         8.89 mm    87.63 mm  90      
R100       3K3              R                SMD0603                         153.67 mm  157.48 mm 90      
R101       1K               R                SMD0603                         179.71 mm  169.55 mm 90      
R102       2K2              R                SMD1206                         156.21 mm  156.21 mm 90      
R103       680R             R                SMD0603                         156.21 mm  169.55 mm 90      
R104       3K3              R                SMD0603                         147.32 mm  157.48 mm 90      
R105       1K               R                SMD0603                         172.09 mm  169.55 mm 90      
R106       2K2              R                SMD1206                         149.86 mm  156.21 mm 90      
R107       680R             R                SMD0603                         149.86 mm  169.55 mm 90      
R108       1K               R                SMD0603                         203.20 mm  169.55 mm 270     
R109       680R             R                SMD0603                         203.20 mm  172.72 mm 90      
R110       0R               R                SMD0805                         203.20 mm  156.85 mm 90      
R111       1K               R                SMD0603                         167.01 mm  157.48 mm 270     
R112       3K3              R                SMD0603                         198.76 mm  157.48 mm 270     
R113       680R             R                SMD0603                         169.55 mm  169.55 mm 90      
